step,wallclock_seconds,split,layer,mean_l2_norm
610,72.661060873,train,2,22.184467315673828
610,72.661060873,train,3,27.050086975097656
620,73.809622789,train,0,21.475387573242188
620,73.809622789,train,1,21.390968322753906
620,73.809622789,train,2,22.178630828857422
620,73.809622789,train,3,27.089920043945312
630,74.957435815,train,0,21.46694564819336
630,74.957435815,train,1,21.375028610229492
630,74.957435815,train,2,22.17293930053711
630,74.957435815,train,3,27.12885856628418
640,76.104247826,train,0,21.458171844482422
640,76.104247826,train,1,21.358217239379883
640,76.104247826,train,2,22.155044555664062
640,76.104247826,train,3,27.170860290527344
650,77.251428218,train,0,21.447975158691406
650,77.251428218,train,1,21.345144271850586
650,77.251428218,train,2,22.15917205810547
650,77.251428218,train,3,27.217559814453125
660,78.398478624,train,0,21.43740463256836
660,78.398478624,train,1,21.330717086791992
660,78.398478624,train,2,22.145366668701172
660,78.398478624,train,3,27.258899688720703
670,79.544907534,train,0,21.42837142944336
670,79.544907534,train,1,21.31584930419922
670,79.544907534,train,2,22.135042190551758
670,79.544907534,train,3,27.299379348754883
680,80.69422281,train,0,21.419692993164062
680,80.69422281,train,1,21.305971145629883
680,80.69422281,train,2,22.138134002685547
680,80.69422281,train,3,27.336891174316406
690,81.840986928,train,0,21.40930938720703
690,81.840986928,train,1,21.292160034179688
690,81.840986928,train,2,22.118938446044922
690,81.840986928,train,3,27.373727798461914
700,82.987874913,train,0,21.39907455444336
700,82.987874913,train,1,21.28173828125
700,82.987874913,train,2,22.12009620666504
700,82.987874913,train,3,27.412986755371094
700,83.029214638,valid,0,21.398834228515625
700,83.029214638,valid,1,21.280269622802734
700,83.029214638,valid,2,22.11181640625
700,83.029214638,valid,3,27.417654037475586
710,84.177273911,train,0,21.391963958740234
710,84.177273911,train,1,21.266704559326172
710,84.177273911,train,2,22.117206573486328
710,84.177273911,train,3,27.454504013061523
720,85.323801657,train,0,21.383392333984375
720,85.323801657,train,1,21.254467010498047
720,85.323801657,train,2,22.110301971435547
720,85.323801657,train,3,27.487728118896484
730,86.472324291,train,0,21.375503540039062
730,86.472324291,train,1,21.238632202148438
730,86.472324291,train,2,22.076679229736328
730,86.472324291,train,3,27.525634765625
740,87.624798037,train,0,21.364789962768555
740,87.624798037,train,1,21.22903823852539
740,87.624798037,train,2,22.0968017578125
740,87.624798037,train,3,27.561927795410156
750,88.777131481,train,0,21.356155395507812
750,88.777131481,train,1,21.214738845825195
750,88.777131481,train,2,22.063873291015625
750,88.777131481,train,3,27.593585968017578
760,89.931223402,train,0,21.347442626953125
760,89.931223402,train,1,21.202075958251953
760,89.931223402,train,2,22.07296371459961
760,89.931223402,train,3,27.627426147460938
770,91.08429324400001,train,0,21.33810043334961
770,91.08429324400001,train,1,21.190032958984375
770,91.08429324400001,train,2,22.063045501708984
770,91.08429324400001,train,3,27.659339904785156
780,92.235243077,train,0,21.332603454589844
780,92.235243077,train,1,21.180837631225586
780,92.235243077,train,2,22.063743591308594
780,92.235243077,train,3,27.693025588989258
790,93.387947723,train,0,21.324920654296875
790,93.387947723,train,1,21.169422149658203
790,93.387947723,train,2,22.049047470092773
790,93.387947723,train,3,27.729534149169922
800,94.542088475,train,0,21.318572998046875
800,94.542088475,train,1,21.15524673461914
800,94.542088475,train,2,22.04286766052246
800,94.542088475,train,3,27.757431030273438
800,94.584708224,valid,0,21.317123413085938
800,94.584708224,valid,1,21.147390365600586
800,94.584708224,valid,2,22.010311126708984
800,94.584708224,valid,3,27.761077880859375
810,95.739839085,train,0,21.310869216918945
810,95.739839085,train,1,21.142377853393555
810,95.739839085,train,2,22.018293380737305
810,95.739839085,train,3,27.785747528076172
820,96.896902895,train,0,21.30304527282715
820,96.896902895,train,1,21.12680435180664
820,96.896902895,train,2,21.997295379638672
820,96.896902895,train,3,27.81023597717285
830,98.05213893700001,train,0,21.295631408691406
830,98.05213893700001,train,1,21.114948272705078
830,98.05213893700001,train,2,21.993152618408203
830,98.05213893700001,train,3,27.835630416870117
840,99.20435505100001,train,0,21.287187576293945
840,99.20435505100001,train,1,21.10285186767578
840,99.20435505100001,train,2,21.989734649658203
840,99.20435505100001,train,3,27.87628173828125
850,100.359170495,train,0,21.278156280517578
850,100.359170495,train,1,21.08820915222168
850,100.359170495,train,2,21.961612701416016
850,100.359170495,train,3,27.900074005126953
860,101.515289932,train,0,21.271102905273438
860,101.515289932,train,1,21.075912475585938
860,101.515289932,train,2,21.97852897644043
860,101.515289932,train,3,27.92816734313965
870,102.67005062,train,0,21.264095306396484
870,102.67005062,train,1,21.062335968017578
870,102.67005062,train,2,21.94662857055664
870,102.67005062,train,3,27.951250076293945
880,103.822221824,train,0,21.254451751708984
880,103.822221824,train,1,21.04999542236328
880,103.822221824,train,2,21.929931640625
880,103.822221824,train,3,27.97818374633789
890,104.971984232,train,0,21.247678756713867
890,104.971984232,train,1,21.0354061126709
890,104.971984232,train,2,21.90899658203125
890,104.971984232,train,3,27.998516082763672
900,106.120752588,train,0,21.24041748046875
900,106.120752588,train,1,21.024641036987305
900,106.120752588,train,2,21.898324966430664
900,106.120752588,train,3,28.01303482055664
900,106.16228715,valid,0,21.240066528320312
900,106.16228715,valid,1,21.025588989257812
900,106.16228715,valid,2,21.91220474243164
900,106.16228715,valid,3,28.01504135131836
910,107.31379390800001,train,0,21.23353385925293
910,107.31379390800001,train,1,21.012447357177734
910,107.31379390800001,train,2,21.906503677368164
910,107.31379390800001,train,3,28.03487777709961
920,108.468842957,train,0,21.226783752441406
920,108.468842957,train,1,21.003816604614258
920,108.468842957,train,2,21.918102264404297
920,108.468842957,train,3,28.050601959228516
930,109.623156682,train,0,21.217866897583008
930,109.623156682,train,1,20.992496490478516
930,109.623156682,train,2,21.933948516845703
930,109.623156682,train,3,28.07905387878418
940,110.776972808,train,0,21.209758758544922
940,110.776972808,train,1,20.972698211669922
940,110.776972808,train,2,21.870487213134766
940,110.776972808,train,3,28.096939086914062
950,111.926023928,train,0,21.202449798583984
950,111.926023928,train,1,20.966257095336914
950,111.926023928,train,2,21.861568450927734
950,111.926023928,train,3,28.120147705078125
960,113.07901990500001,train,0,21.192832946777344
960,113.07901990500001,train,1,20.953773498535156
960,113.07901990500001,train,2,21.873302459716797
960,113.07901990500001,train,3,28.138105392456055
970,114.229090368,train,0,21.181781768798828
970,114.229090368,train,1,20.938901901245117
970,114.229090368,train,2,21.831165313720703
970,114.229090368,train,3,28.15584373474121
980,115.377042231,train,0,21.17261505126953
980,115.377042231,train,1,20.926300048828125
980,115.377042231,train,2,21.838054656982422
980,115.377042231,train,3,28.170726776123047
990,116.526963875,train,0,21.16492462158203
990,116.526963875,train,1,20.913877487182617
990,116.526963875,train,2,21.801807403564453
990,116.526963875,train,3,28.189579010009766
1000,117.675069036,train,0,21.15733528137207
1000,117.675069036,train,1,20.900039672851562
1000,117.675069036,train,2,21.788898468017578
1000,117.675069036,train,3,28.20392417907715
1000,117.715642188,valid,0,21.156496047973633
1000,117.715642188,valid,1,20.898448944091797
1000,117.715642188,valid,2,21.788959503173828
1000,117.715642188,valid,3,28.204408645629883
1010,118.864302216,train,0,21.151229858398438
1010,118.864302216,train,1,20.88957977294922
1010,118.864302216,train,2,21.771251678466797
1010,118.864302216,train,3,28.21750259399414
1020,120.011284055,train,0,21.145240783691406
1020,120.011284055,train,1,20.88150405883789
1020,120.011284055,train,2,21.80836296081543
1020,120.011284055,train,3,28.23059844970703
1030,121.158124314,train,0,21.138900756835938
1030,121.158124314,train,1,20.863378524780273
1030,121.158124314,train,2,21.756628036499023
1030,121.158124314,train,3,28.24658203125
1040,122.305412046,train,0,21.1324520111084
1040,122.305412046,train,1,20.85780906677246
1040,122.305412046,train,2,21.79084014892578
1040,122.305412046,train,3,28.26093292236328
1050,123.452960838,train,0,21.125743865966797
1050,123.452960838,train,1,20.84038543701172
1050,123.452960838,train,2,21.73554229736328
1050,123.452960838,train,3,28.281129837036133
1060,124.599838597,train,0,21.1181583404541
1060,124.599838597,train,1,20.830520629882812
1060,124.599838597,train,2,21.746400833129883
1060,124.599838597,train,3,28.287887573242188
1070,125.748110636,train,0,21.111141204833984
1070,125.748110636,train,1,20.824188232421875
1070,125.748110636,train,2,21.746213912963867
1070,125.748110636,train,3,28.310516357421875
1080,126.89507889000001,train,0,21.105857849121094
1080,126.89507889000001,train,1,20.815139770507812
1080,126.89507889000001,train,2,21.7315731048584
1080,126.89507889000001,train,3,28.318708419799805
1090,128.041814952,train,0,21.099166870117188
1090,128.041814952,train,1,20.797578811645508
1090,128.041814952,train,2,21.713226318359375
1090,128.041814952,train,3,28.32789421081543
1100,129.188593418,train,0,21.091655731201172
1100,129.188593418,train,1,20.784847259521484
1100,129.188593418,train,2,21.674072265625
1100,129.188593418,train,3,28.34079360961914
1100,129.229703673,valid,0,21.091567993164062
1100,129.229703673,valid,1,20.785972595214844
1100,129.229703673,valid,2,21.6806697845459
1100,129.229703673,valid,3,28.34493637084961
1110,130.377298932,train,0,21.086021423339844
1110,130.377298932,train,1,20.775728225708008
1110,130.377298932,train,2,21.683151245117188
1110,130.377298932,train,3,28.353790283203125
1120,131.52381521,train,0,21.078609466552734
1120,131.52381521,train,1,20.75971221923828
1120,131.52381521,train,2,21.619522094726562
1120,131.52381521,train,3,28.370126724243164
1130,132.670573028,train,0,21.071544647216797
1130,132.670573028,train,1,20.753131866455078
1130,132.670573028,train,2,21.63986587524414
1130,132.670573028,train,3,28.37457275390625
1140,133.817436994,train,0,21.06390380859375
1140,133.817436994,train,1,20.736305236816406
1140,133.817436994,train,2,21.58144187927246
1140,133.817436994,train,3,28.389921188354492
1150,134.963772865,train,0,21.056093215942383
1150,134.963772865,train,1,20.728492736816406
1150,134.963772865,train,2,21.62343978881836
1150,134.963772865,train,3,28.403701782226562
1160,136.111021687,train,0,21.051166534423828
1160,136.111021687,train,1,20.718782424926758
1160,136.111021687,train,2,21.584171295166016
1160,136.111021687,train,3,28.407665252685547
1170,137.258082558,train,0,21.043699264526367
1170,137.258082558,train,1,20.706707000732422
1170,137.258082558,train,2,21.570627212524414
1170,137.258082558,train,3,28.41881561279297
1180,138.405017123,train,0,21.03786849975586
1180,138.405017123,train,1,20.69268798828125
1180,138.405017123,train,2,21.52820587158203
1180,138.405017123,train,3,28.42630386352539
1190,139.55135510600002,train,0,21.029603958129883
1190,139.55135510600002,train,1,20.681486129760742
1190,139.55135510600002,train,2,21.54273223876953
1190,139.55135510600002,train,3,28.428754806518555
1200,140.698140547,train,0,21.02482795715332
1200,140.698140547,train,1,20.669647216796875
1200,140.698140547,train,2,21.49575424194336
1200,140.698140547,train,3,28.43807601928711
1200,140.738851086,valid,0,21.025104522705078
1200,140.738851086,valid,1,20.683591842651367
1200,140.738851086,valid,2,21.58831024169922
1200,140.738851086,valid,3,28.435546875
1210,141.886126497,train,0,21.017580032348633
1210,141.886126497,train,1,20.655975341796875
1210,141.886126497,train,2,21.474327087402344
1210,141.886126497,train,3,28.44746971130371
1220,143.03312339000001,train,0,21.011066436767578
1220,143.03312339000001,train,1,20.64569664001465
1220,143.03312339000001,train,2,21.461549758911133
1220,143.03312339000001,train,3,28.454069137573242
1230,144.179841331,train,0,21.003623962402344
1230,144.179841331,train,1,20.645496368408203
1230,144.179841331,train,2,21.527976989746094
1230,144.179841331,train,3,28.458906173706055
1240,145.326166868,train,0,20.997684478759766
1240,145.326166868,train,1,20.628835678100586
1240,145.326166868,train,2,21.48644256591797
1240,145.326166868,train,3,28.458450317382812
1250,146.47258710100002,train,0,20.99138641357422
1250,146.47258710100002,train,1,20.61311149597168
1250,146.47258710100002,train,2,21.404510498046875
1250,146.47258710100002,train,3,28.462480545043945
1260,147.619773773,train,0,20.984683990478516
1260,147.619773773,train,1,20.603836059570312
1260,147.619773773,train,2,21.383651733398438
1260,147.619773773,train,3,28.46685028076172
1270,148.76631057400002,train,0,20.976667404174805
1270,148.76631057400002,train,1,20.600074768066406
1270,148.76631057400002,train,2,21.43976593017578
1270,148.76631057400002,train,3,28.480167388916016
1280,149.915207657,train,0,20.97092056274414
1280,149.915207657,train,1,20.58615493774414
1280,149.915207657,train,2,21.38421058654785
1280,149.915207657,train,3,28.47757911682129
1290,151.061620887,train,0,20.9635066986084
1290,151.061620887,train,1,20.58198356628418
1290,151.061620887,train,2,21.441089630126953
1290,151.061620887,train,3,28.487159729003906
1300,152.209703266,train,0,20.95433807373047
1300,152.209703266,train,1,20.55987548828125
1300,152.209703266,train,2,21.320940017700195
1300,152.209703266,train,3,28.49862289428711
1300,152.250291646,valid,0,20.954381942749023
1300,152.250291646,valid,1,20.56603240966797
1300,152.250291646,valid,2,21.366586685180664
1300,152.250291646,valid,3,28.49655532836914
1310,153.396914681,train,0,20.948421478271484
1310,153.396914681,train,1,20.556758880615234
1310,153.396914681,train,2,21.394733428955078
1310,153.396914681,train,3,28.513580322265625
1320,154.543617895,train,0,20.940990447998047
1320,154.543617895,train,1,20.54125213623047
1320,154.543617895,train,2,21.351055145263672
1320,154.543617895,train,3,28.508136749267578
1330,155.690321303,train,0,20.93412971496582
1330,155.690321303,train,1,20.529634475708008
1330,155.690321303,train,2,21.26962661743164
1330,155.690321303,train,3,28.513748168945312
1340,156.836585437,train,0,20.92828369140625
1340,156.836585437,train,1,20.53074836730957
1340,156.836585437,train,2,21.352455139160156
1340,156.836585437,train,3,28.52979850769043
1350,157.98373523,train,0,20.92058563232422
1350,157.98373523,train,1,20.50641632080078
1350,157.98373523,train,2,21.24945640563965
1350,157.98373523,train,3,28.530685424804688
1360,159.130169906,train,0,20.913854598999023
1360,159.130169906,train,1,20.49492073059082
1360,159.130169906,train,2,21.249427795410156
1360,159.130169906,train,3,28.52924346923828
1370,160.277059076,train,0,20.906484603881836
1370,160.277059076,train,1,20.486801147460938
1370,160.277059076,train,2,21.24687957763672
1370,160.277059076,train,3,28.52507972717285
1380,161.424394518,train,0,20.90018081665039
1380,161.424394518,train,1,20.477651596069336
1380,161.424394518,train,2,21.209171295166016
1380,161.424394518,train,3,28.54299545288086
1390,162.573235745,train,0,20.895029067993164
1390,162.573235745,train,1,20.4615535736084
1390,162.573235745,train,2,21.190235137939453
1390,162.573235745,train,3,28.541908264160156
1400,163.722127932,train,0,20.887638092041016
1400,163.722127932,train,1,20.458463668823242
1400,163.722127932,train,2,21.168231964111328
1400,163.722127932,train,3,28.539602279663086
1400,163.762684172,valid,0,20.886493682861328
1400,163.762684172,valid,1,20.46208953857422
1400,163.762684172,valid,2,21.1796875
1400,163.762684172,valid,3,28.546199798583984
1410,164.909457341,train,0,20.877300262451172
1410,164.909457341,train,1,20.450252532958984
1410,164.909457341,train,2,21.161270141601562
1410,164.909457341,train,3,28.543188095092773
1420,166.055671065,train,0,20.868301391601562
1420,166.055671065,train,1,20.438905715942383
1420,166.055671065,train,2,21.183542251586914
1420,166.055671065,train,3,28.53322982788086
1430,167.202650958,train,0,20.85944175720215
1430,167.202650958,train,1,20.420536041259766
1430,167.202650958,train,2,21.172016143798828
1430,167.202650958,train,3,28.534231185913086
1440,168.352124786,train,0,20.852096557617188
1440,168.352124786,train,1,20.404903411865234
1440,168.352124786,train,2,21.111398696899414
1440,168.352124786,train,3,28.52483367919922
1450,169.49987649300002,train,0,20.84400177001953
1450,169.49987649300002,train,1,20.399463653564453
1450,169.49987649300002,train,2,21.159812927246094
1450,169.49987649300002,train,3,28.541324615478516
1460,170.64694705,train,0,20.833637237548828
1460,170.64694705,train,1,20.396255493164062
1460,170.64694705,train,2,21.196086883544922
1460,170.64694705,train,3,28.527870178222656
1470,171.79370615300002,train,0,20.82322883605957
1470,171.79370615300002,train,1,20.389690399169922
1470,171.79370615300002,train,2,21.148286819458008
1470,171.79370615300002,train,3,28.546573638916016
1480,172.94083879800002,train,0,20.81586456298828
1480,172.94083879800002,train,1,20.367027282714844
1480,172.94083879800002,train,2,21.0445499420166
1480,172.94083879800002,train,3,28.533695220947266
1490,174.088836427,train,0,20.807735443115234
1490,174.088836427,train,1,20.356077194213867
1490,174.088836427,train,2,21.098506927490234
1490,174.088836427,train,3,28.548582077026367
1500,175.235946437,train,0,20.803024291992188
1500,175.235946437,train,1,20.351337432861328
1500,175.235946437,train,2,21.017784118652344
1500,175.235946437,train,3,28.547382354736328
1500,175.276139342,valid,0,20.803150177001953
1500,175.276139342,valid,1,20.345993041992188
1500,175.276139342,valid,2,21.009078979492188
1500,175.276139342,valid,3,28.54042625427246
